id,url,state,action,background,additional_details,signature_count,date_created,date_responded,date_debated,is_environmental,openai_explanation
619781,https://petition.parliament.uk/petitions/619781.json,open,Call an immediate general election to end the chaos of the current government,Call an immediate general election so that the people can decide who should lead us through the unprecedented crises threatening the UK.,"The chaos engulfing the UK government is unprecedented. Over 40 ministers resigned leaving departments without leadership during cost of living, energy and climate crises. War rages in Ukraine; the Northern Ireland Protocol has further damaged our relationship with Europe; recession looms; the UK itself may cease to exist as Scotland seeks independence. This is the greatest set of challenges we have seen in our lifetimes. Let the people decide who leads us through this turmoil.",901912,2022-07-07T10:13:40.162Z,2022-09-20,2022-10-17,False,This petition does not relate to the environment.
590282,https://petition.parliament.uk/petitions/590282.json,closed,Give the UK a Bank Holiday on Monday July 12th if England win Euro 2020,"England may be playing a European Championship Final at 8pm on Sunday 11th July. It would be beneficial and sensible to give the country the day off the next day if England win, in the form of an extra Bank Holiday Monday.","Sunday 8pm is a difficult time for families to plan to be together for the event - knowing we have an additional day off the next day would significantly help this. Furthermore, a historic win should be celebrated. It would be expected for the winning team to parade the trophy, and a Bank Holiday would be a perfect time to do this. Also, English people would naturally want to continue to enjoy the win, giving the retail and leisure industry a much-needed opportunity to make up lost revenues.",364821,2021-06-30T09:01:23.069Z,2021-07-22,,False,This petition does not relate to the environment.
319891,https://petition.parliament.uk/petitions/319891.json,closed,Limit the Sale and Use of Fireworks to Organisers of Licensed Displays Only,"Current legislation allows for public use of fireworks 16 hours a day, every day, making it impossible for vulnerable groups to take precautions against the distress they can cause. Better enforcement of existing law is insufficient; limiting their sale & use to licensed displays only is necessary.","Restrictions on the sale & use of fireworks has huge public support and is backed by several human and animal charities. Limiting the sale & use of fireworks to displays only, by introducing licensing via local authorities, would help to protect vulnerable people and animals from the distress and anxiety caused by unexpected firework noise & pollution. Legislation that balances people’s desires for firework displays, and individual rights to not be distressed throughout the year, is needed now.",301611,2020-05-08T13:59:43.344Z,2020-08-13,2021-11-08,True,This petition relates to air pollution and wildlife.
326066,https://petition.parliament.uk/petitions/326066.json,closed,Cancel GCSEs and A Levels in 2021,"The Government should cancel GCSEs and A Levels in 2021 due to the disruption of Covid-19. By the time students go back to normal learning, 6 months will have passed since schools were closed to most pupils. This has already had a huge impact on the studying of so many.","Students in the UK have already missed hundreds of hours of learning since 23rd March. This has had a huge effect. Some pupils don’t have the essential resources: a working computer, textbooks, stationary, etc. Many don’t have a proper learning environment, therefore results will most certainly not reflect the true efforts of pupils. Hence why I am writing to the Government to cancel GCSEs and A Levels and provide predicted grades to show the true reflections of students across the country.",211974,2020-06-09T21:32:29.897Z,2020-10-20,2020-12-07,False,This petition does not relate to the environment.
619334,https://petition.parliament.uk/petitions/619334.json,open,Include abortion rights in the Bill of Rights,"As Parliament considers the Bill of Rights, the Government must reconsider including abortion rights in this Bill. Rights to abortion must be specifically protected in this legislation, especially as the Government has refused to rule out leaving the European Convention on Human Rights.","In the wake of the United States Supreme Court over-turning 'Roe vs. Wade' in a landmark decision; the United Kingdom must enshrine abortion rights in the new UK Bill of Rights.

Abortion rights are healthcare rights; not just for individuals who do not wish to be pregnant, but also for those who do. For ectopic pregnancies, to finish a natural miscarriage, or if mother or foetus' life is at high risk. There are a multitude of other reasons to seek an abortion and this should be protected as a right to choose.",167481,2022-06-29T19:18:39.164Z,2022-09-20,2022-11-28,False,This petition does not relate to the environment.
563380,https://petition.parliament.uk/petitions/563380.json,closed,Stop work on HS2 immediately and hold a new vote to repeal the legislation,"We ask Parliament to repeal the High Speed Rail Bills, 2016 and 2019, as MPs voted on misleading environmental, financial and timetable information provided by the Dept of Transport and HS2 Ltd. It fails to address the conditions of the Paris Accord and costs have risen from £56bn to over £100bn.","Our environment and economy are in peril. HS2 is destroying nature and inflicting suffering on businesses and property owners. Government is investing in an inept and recklessly run project, offering poor value for money. HS2 will not reach Net Zero by 2050 nor help us level up the North. The pandemic has changed how we work forever and invalidated the business case. Given the climate emergencies we face, and now the economic and pandemic crises - Parliament must vote to repeal the legislation.",155253,2020-12-09T22:24:17.835Z,2021-01-14,2021-09-13,True,This petition relates to climate change and carbon emissions.
584632,https://petition.parliament.uk/petitions/584632.json,closed,Introduce an Independent Regulator for Football in England by December 2021,The Government should use the recently established fan led review of football to introduce an Independent Football Regulator in England to put fans back at the heart of our national game. This should happen by December 2021.,"1. Like a referee, an independent regulator would safeguard our beautiful game impartially. This doesn’t currently exist.
2. An Independent Regulator could protect the game against another attempt at a super league or other efforts to put money ahead of fans.
3. Water companies, energy providers and the media all have an independent regulator. Football matters to millions and should also have a regulator of its own.",142931,2021-04-30T09:54:06.823Z,2021-06-07,2021-06-14,False,This petition does not relate to the environment.
323881,https://petition.parliament.uk/petitions/323881.json,closed,Allow Zoos and Wildlife attractions to reopen with social distancing in place,"It is essential that zoos and wildlife attractions with their acres of land and wide open spaces are given immediate permission to reopen. With social distancing in place these facilities could be safer than other facilities, such as open air markets, already given permission to reopen.","Zoos play a vital role in conservation, not only in the UK, but also around the world. Institutions spend millions annually funding conservation that helps to preserve the habitats and numbers of critically endangered animals.

This conservation has been put under threat by the continued closure of zoos, with many facing closure due to the lack of government support.

The cost of looking after animals doesn’t just disappear when visitors aren’t around and it is essential they be allowed to reopen immediately.",129292,2020-06-01T08:56:06.833Z,2020-06-26,,True,This petition relates to air pollution and wildlife.
582336,https://petition.parliament.uk/petitions/582336.json,closed,Ban Water Companies discharging raw sewage into water courses.,Ensure Water companies treat the sewage they are responsible for. Not discharge it into rivers and water courses. After all what goes into the ocean comes back as the fish we eat.,This should be illegal!,111428,2021-04-06T15:35:58.496Z,2021-05-05,2021-11-15,True,This petition relates to water pollution.
593775,https://petition.parliament.uk/petitions/593775.json,closed,End the Cage Age for all farmed animals,"Every year across the UK, millions of farmed animals are kept in cages, unable to express their natural behaviours and experiencing huge suffering. These inhumane systems cannot be the future of British farming.  The UK Government must legislate to ‘End the Cage Age’ for all farmed animals.","The European Commission plans to ban cages for all farmed animals, potentially by 2027, and will also look to prohibit the import of food from caged systems. This would result in the UK lagging behind the EU and may add bureaucracy to trade with the UK’s largest export market - possibly damaging the whole British farming sector.
The UK Government must work to secure by 2027, across the UK, a ban on the use of:
-barren, enriched and ‘combi’ cages
-farrowing crates for sows
-individual calf pens",109820,2021-07-30T12:53:08.805Z,2021-08-20,2022-06-20,True,This petition relates to wildlife.
